Haplogroup,Score_Africa,Score_Central_Asia,Score_Southeast_Asia
A,0.000000,0.000000,0.000000
A+152,0.000000,0.000000,0.000000
A+152+16362,0.000000,0.000000,0.000000
A+152+16362+200,0.000000,0.000000,0.000000
A11+16234,0.000000,0.000000,0.000000
A12a,0.000000,0.000000,0.000000
A13,0.000000,0.000000,0.000000
A14,0.000000,0.000000,0.000000
A15a,0.000000,0.000000,0.000000
A17,0.000000,0.000000,0.000000
A25,0.000000,0.000000,0.000000
A2ad1,0.000000,0.000000,0.000000
A5,0.000000,0.000000,0.000000
A5b1,0.000000,0.000000,0.000000
A8a,0.000000,0.000000,0.000000
B2o,0.000000,0.000000,0.000000
B4,0.000000,0.000000,0.000000
B4+16261,0.000000,0.000000,0.000000
B4a,0.000000,0.000000,0.000000
B4a1a,0.000000,0.000000,0.000000
B4a1a1,0.000000,0.000000,0.000000
B4a1a1b,0.000000,0.000000,0.000000
B4a1a3a1,0.000000,0.000000,0.000000
B4a1c,0.000000,0.000000,0.000000
B4a1c+146,0.000000,0.000000,1.000000
B4a1c2,0.000000,0.000000,0.000000
B4a1c4,0.000000,0.000000,0.000000
B4a1e,0.000000,0.000000,0.000000
B4a4,0.000000,0.000000,0.000000
B4a5,0.000000,0.000000,0.000000
B4b1,0.000000,0.000000,0.000000
B4b1a,0.000000,0.000000,0.000000
B4b1a2,0.000000,0.000000,0.000000
B4b1a2a,0.000000,0.000000,0.000000
B4b1a2b1,0.000000,0.000000,0.000000
B4b1a2c,0.000000,0.000000,1.000000
B4b1a2d,0.000000,0.000000,1.000000
B4b1a2i,0.000000,0.000000,0.000000
B4b1c1,0.000000,0.000000,0.000000
B4c,0.000000,0.000000,0.000000
B4c1a,0.000000,0.000000,0.000000
B4c1b,0.000000,0.000000,0.000000
B4c1b+16335,0.000000,0.000000,0.000000
B4c1b2a,0.000000,0.000000,0.000000
B4c1b2a2,0.000000,0.000000,0.000000
B4c1b2b,0.000000,0.000000,0.000000
B4c1b2c,0.000000,0.000000,0.000000
B4c1b2c2,0.000000,0.000000,0.000000
B4c1c1,0.000000,0.000000,0.000000
B4c2,0.000000,0.000000,0.000000
B4c2b,0.000000,0.000000,0.000000
B4c2c,0.000000,0.000000,0.000000
B4d1a,0.000000,0.000000,0.000000
B4e,0.000000,0.000000,0.000000
B4g,0.000000,0.000000,0.000000
B4g1,0.000000,0.000000,0.000000
B4g1a,0.000000,0.000000,0.000000
B4g2,0.000000,0.000000,0.000000
B4h,0.000000,0.000000,0.000000
B4h1,0.000000,0.000000,0.000000
B4k,0.000000,0.000000,0.000000
B4m,0.000000,0.000000,0.000000
B5a,0.000000,0.000000,0.000000
B5a1,0.000000,0.000000,0.000000
B5a1a,0.000000,0.000000,0.000000
B5a1b1,0.000000,0.000000,0.000000
B5a1c,0.000000,0.000000,0.000000
B5a1c1a,0.000000,0.000000,0.000000
B5a1c1a1,0.000000,0.000000,0.000000
B5a1d,0.000000,0.000000,0.000000
B5a2a1a,0.000000,0.000000,0.000000
B5b,0.000000,0.000000,0.000000
B5b1,0.000000,0.000000,0.000000
B5b1a,0.000000,0.000000,0.000000
B5b1c,0.000000,0.000000,0.000000
B5b2+@204,0.000000,0.000000,0.000000
B5b2a1,0.000000,0.000000,0.000000
B6,0.000000,0.000000,1.000000
B6a,0.000000,0.000000,0.000000
B6a1,0.000000,0.000000,0.000000
B6a1a,0.000000,0.000000,0.000000
C,0.000000,0.000000,0.000000
C1f,0.000000,0.000000,0.000000
C4+152,0.000000,0.000000,0.000000
C4a1,0.000000,0.000000,0.000000
C4a1b,0.000000,0.000000,0.000000
C4a2,0.000000,0.000000,0.000000
C4a2a,0.000000,0.000000,0.000000
C4a2a1,0.000000,0.000000,0.000000
C4a2b,0.000000,0.000000,0.000000
C4a2b2,0.000000,0.000000,0.000000
C4a2c,0.000000,0.000000,0.000000
C4a2c1,0.000000,0.000000,0.000000
C4a2c2,0.000000,0.000000,0.000000
C4b1,0.000000,0.000000,0.000000
C4b8a,0.000000,0.000000,0.000000
C4c1b,0.000000,0.000000,0.000000
C4d,0.000000,0.000000,0.000000
C5a1,0.000000,0.000000,0.000000
C5b1b1,0.000000,0.000000,0.000000
C5d,0.000000,0.000000,0.000000
C7,0.000000,0.000000,0.000000
C7+16051,0.000000,0.000000,0.000000
C7a,0.000000,0.000000,0.000000
C7a1,0.000000,0.000000,0.000000
C7a1a,0.000000,0.000000,1.000000
C7a2,0.000000,0.000000,0.000000
CZ,0.000000,0.000000,1.000000
D4,0.000000,0.000000,0.000000
D4a,0.000000,0.000000,0.000000
D4a1e,0.000000,0.000000,0.000000
D4a3b,0.000000,0.000000,0.000000
D4a5,0.000000,0.000000,0.000000
D4a7,0.000000,0.000000,0.000000
D4b,0.000000,0.000000,0.000000
D4b1,0.000000,0.000000,0.000000
D4b1a,0.000000,0.000000,0.000000
D4b1a1,0.000000,0.000000,0.000000
D4b1a2a1,0.000000,0.000000,0.000000
D4b1b,0.000000,0.000000,0.000000
D4b1d,0.000000,0.000000,0.000000
D4b2,0.000000,0.000000,0.000000
D4b2a1,0.000000,0.000000,0.000000
D4b2b,0.000000,0.000000,0.000000
D4b2b2,0.000000,0.000000,0.000000
D4b2b2a,0.000000,0.000000,0.000000
D4b2d,0.000000,0.000000,0.000000
D4c1b,0.000000,0.000000,0.000000
D4c2b,0.000000,0.000000,0.000000
D4e1a,0.000000,0.000000,0.000000
D4e1a2,0.000000,0.000000,0.000000
D4e1a3,0.000000,0.000000,0.000000
D4e3,0.000000,0.000000,0.000000
D4e4,0.000000,0.000000,0.000000
D4e5a,0.000000,0.000000,0.000000
D4f1,0.000000,0.000000,0.000000
D4g2a,0.000000,0.000000,0.000000
D4g2a1,0.000000,0.000000,0.000000
D4g2a1b,0.000000,0.000000,0.000000
D4g2a1c,0.000000,0.000000,0.000000
D4h,0.000000,0.000000,0.000000
D4h1,0.000000,0.000000,0.000000
D4h1c,0.000000,0.000000,0.000000
D4h3,0.000000,0.000000,0.000000
D4h4a,0.000000,0.000000,0.000000
D4i,0.000000,0.000000,0.000000
D4j+146,0.000000,0.000000,0.000000
D4j1,0.000000,0.000000,0.000000
D4j1a,0.000000,0.000000,0.000000
D4j1a1,0.000000,0.000000,0.000000
D4j1b,0.000000,0.000000,0.000000
D4j1b2,0.000000,0.000000,0.000000
D4j2,0.000000,0.000000,0.000000
D4j3,0.000000,0.000000,0.000000
D4j5a,0.000000,0.000000,0.000000
D4j8,0.000000,0.000000,0.000000
D4k,0.000000,0.000000,0.000000
D4l2,0.000000,0.000000,0.000000
D4m,0.000000,0.000000,0.000000
D4q,0.000000,0.000000,0.000000
D4s,0.000000,0.000000,0.000000
D5,0.000000,0.000000,0.000000
D5a2a+16092,0.000000,0.000000,0.000000
D5a2a1,0.000000,0.000000,0.000000
D5a2a1+@16172,0.000000,0.000000,0.000000
D5a2b,0.000000,0.000000,0.000000
D5b,0.000000,0.000000,0.000000
D5b1b,0.000000,0.000000,0.000000
D5b1c1,0.000000,0.000000,0.000000
D5b1c1a,0.000000,0.000000,0.000000
D5b3,0.000000,0.000000,0.000000
D5b4,0.000000,0.000000,0.000000
D5c+16311,0.000000,0.000000,0.000000
D6a2,0.000000,0.000000,0.000000
D6c,0.000000,0.000000,0.000000
E1,0.000000,0.000000,0.000000
E1a1a,0.000000,0.000000,0.000000
E1a1a1,0.000000,0.000000,0.000000
E1a1a1a,0.000000,0.000000,0.000000
E2a,0.000000,0.000000,0.000000
E2a1a,0.000000,0.000000,0.000000
E2b,0.000000,0.000000,0.000000
F1+16189,0.000000,0.000000,0.000000
F1a,0.000000,0.000000,0.000000
F1a'c'f,0.000000,0.000000,0.000000
F1a1,0.000000,0.000000,0.000000
F1a1'4,0.000000,0.000000,0.000000
F1a1a,0.000000,0.000000,0.000000
F1a1a1,0.000000,0.000000,0.000000
F1a1c,0.000000,0.000000,0.000000
F1a1c1,0.000000,0.000000,0.000000
F1a1d,0.000000,0.000000,0.000000
F1a2,0.000000,0.000000,0.000000
F1a2a,0.000000,0.000000,0.000000
F1a3,0.000000,0.000000,0.000000
F1a3+16311,0.000000,0.000000,0.000000
F1a3b,0.000000,0.000000,0.000000
F1a4a,0.000000,0.000000,0.000000
F1a4a1,0.000000,0.000000,0.000000
F1a4b,0.000000,0.000000,0.000000
F1b1+@152,0.000000,0.000000,0.000000
F1b1c,0.000000,0.000000,0.000000
F1b1f,0.000000,0.000000,0.000000
F1c1,0.000000,0.000000,0.000000
F1c1a,0.000000,0.000000,0.000000
F1c1a1,0.000000,0.000000,0.000000
F1c1a2,0.000000,0.000000,0.000000
F1d,0.000000,0.000000,0.000000
F1d1,0.000000,0.000000,0.000000
F1e,0.000000,0.000000,0.000000
F1e3,0.000000,0.000000,0.000000
F1f,0.000000,0.000000,0.000000
F1g,0.000000,0.000000,0.000000
F1g1,0.000000,0.000000,0.000000
F2,0.000000,0.000000,0.000000
F2a,0.000000,0.000000,0.000000
F2a+@16291,0.000000,0.000000,0.000000
F2a1,0.000000,0.000000,0.000000
F2b1,0.000000,0.000000,0.000000
F2d,0.000000,0.000000,0.000000
F2e,0.000000,0.000000,0.000000
F2h,0.000000,0.000000,0.000000
F3a,0.000000,0.000000,0.000000
F3a+207,0.000000,0.000000,0.000000
F3a1,0.000000,0.000000,0.000000
F3b,0.000000,0.000000,0.000000
F3b+152,0.000000,0.000000,0.000000
F3b1a,0.000000,0.000000,0.000000
F3b1a1,0.000000,0.000000,0.000000
F3b1b,0.000000,0.000000,0.000000
F4a2,0.000000,0.000000,0.000000
F4b,0.000000,0.000000,0.000000
F4b1,0.000000,0.000000,0.000000
G,0.000000,0.000000,0.000000
G1a,0.000000,0.000000,0.000000
G1a1,0.000000,0.000000,0.000000
G1a2,0.000000,0.000000,0.000000
G1c,0.000000,0.000000,0.000000
G2,0.000000,0.000000,0.000000
G2a,0.000000,0.000000,0.000000
G2a+152,0.000000,0.000000,0.000000
G2a1,0.000000,0.000000,0.000000
G2a1+16189,0.000000,0.000000,0.000000
G2a1d2,0.000000,0.000000,0.000000
G2a1d2a,0.000000,0.000000,0.000000
G2a1f,0.000000,0.000000,0.000000
G2a2,0.000000,0.000000,0.000000
G2a2a,0.000000,0.000000,0.000000
G2a5,0.000000,0.000000,0.000000
G2b1a,0.000000,0.000000,0.000000
G2b1a1,0.000000,0.000000,0.000000
G2b1a2,0.000000,0.000000,0.000000
G2b2c,0.000000,0.000000,0.000000
G2c,0.000000,0.000000,0.000000
G3a1'2,0.000000,0.000000,0.000000
G3a3,0.000000,0.000000,0.000000
G3b2,0.000000,0.000000,0.000000
H,0.000000,0.000000,0.000000
H+152,0.000000,0.000000,0.000000
H+16129,0.000000,0.000000,0.000000
H1,0.000000,0.000000,0.000000
H1+152,0.000000,0.000000,0.000000
H1+16189,0.000000,0.000000,0.000000
H1+16311,0.000000,0.000000,0.000000
H10,0.000000,0.000000,0.000000
H101,0.000000,0.000000,0.000000
H10a1,0.000000,0.000000,0.000000
H10e,0.000000,0.000000,0.000000
H13,0.000000,0.000000,0.000000
H13a1a2a,0.000000,0.000000,0.000000
H13a2a,0.000000,0.000000,0.000000
H13a2a1,0.000000,0.000000,0.000000
H13b1,0.000000,0.000000,0.000000
H14,0.000000,0.000000,0.000000
H14b4,0.000000,0.000000,0.000000
H15a1a1,0.000000,0.000000,0.000000
H15a1b,0.000000,0.000000,0.000000
H15b1,0.000000,0.000000,0.000000
H16+152,0.000000,0.000000,0.000000
H1a3,0.000000,0.000000,0.000000
H1af1,0.000000,0.000000,0.000000
H1ak,0.000000,0.000000,0.000000
H1ak1,0.000000,0.000000,0.000000
H1b,0.000000,0.000000,0.000000
H1ba,0.000000,0.000000,0.000000
H1c4b,0.000000,0.000000,0.000000
H1c5,0.000000,0.000000,0.000000
H1c9,0.000000,0.000000,0.000000
H1e,0.000000,0.000000,0.000000
H1e1a6,0.000000,0.000000,0.000000
H1t2,0.000000,0.000000,0.000000
H1v,0.000000,0.000000,0.000000
H1v1,1.000000,0.000000,0.000000
H20c,0.000000,0.000000,0.000000
H23,0.000000,0.000000,0.000000
H2a,0.000000,0.000000,0.000000
H2a1+146,0.000000,0.000000,0.000000
H2a1a,0.000000,0.000000,0.000000
H2a1f,0.000000,0.000000,0.000000
H2a2a,0.000000,0.000000,0.000000
H2a2a1,0.000000,1.000000,0.000000
H2a5b,0.000000,0.000000,0.000000
H2b,0.000000,0.000000,0.000000
H3,0.000000,0.000000,0.000000
H3+16311,0.000000,0.000000,0.000000
H30a,0.000000,0.000000,0.000000
H32,0.000000,0.000000,0.000000
H3aa,0.000000,0.000000,0.000000
H3g1,0.000000,0.000000,0.000000
H3g3,0.000000,0.000000,0.000000
H3r,0.000000,0.000000,0.000000
H3r1,0.000000,0.000000,0.000000
H3u,0.000000,0.000000,0.000000
H41a,0.000000,0.000000,0.000000
H44b,0.000000,0.000000,0.000000
H4a1,0.000000,0.000000,0.000000
H4a1a,0.000000,0.000000,0.000000
H5,0.000000,0.000000,0.000000
H53,0.000000,0.000000,0.000000
H55+153,0.000000,0.000000,0.000000
H55b,0.000000,0.000000,0.000000
H5a1,0.000000,0.000000,0.000000
H5a1+16093,0.000000,0.000000,0.000000
H5a1g,0.000000,0.000000,1.000000
H5e1,0.000000,0.000000,0.000000
H61,0.000000,0.000000,0.000000
H6a1a,0.000000,0.000000,0.000000
H6a1b,0.000000,0.000000,0.000000
H6b2,0.000000,0.000000,0.000000
H7,0.000000,0.000000,0.000000
H71,0.000000,0.000000,0.000000
H75,0.000000,0.000000,0.000000
H79,0.000000,0.000000,0.000000
H8+(114)+152,0.000000,0.000000,0.000000
H87,0.000000,0.000000,0.000000
H8b1,0.000000,0.000000,0.000000
HV,0.000000,0.000000,0.000000
HV+16311,0.000000,0.000000,0.000000
HV0+195,0.000000,0.000000,0.000000
HV0g,0.000000,0.000000,0.000000
HV12b1,0.000000,0.000000,0.000000
HV14a,0.000000,0.000000,0.000000
HV15,0.000000,0.000000,0.000000
HV18,0.000000,0.000000,0.000000
HV1a'b'c,0.000000,0.000000,0.000000
HV1a1a,0.000000,0.000000,0.000000
HV1b,0.000000,0.000000,0.000000
HV1b3,0.000000,0.000000,0.000000
HV1c,0.000000,0.000000,0.000000
HV2,0.000000,0.000000,0.000000
HV24,0.000000,0.000000,0.000000
HV2a1,0.000000,0.000000,0.000000
HV2a3,0.000000,0.000000,0.000000
HV4,0.000000,0.000000,0.000000
HV4b,0.000000,0.000000,0.000000
I,0.000000,0.000000,0.000000
I1a,0.000000,0.000000,0.000000
I1a1,0.000000,0.000000,0.000000
I1b,0.000000,0.000000,0.000000
I1e,0.000000,0.000000,0.000000
I4a,0.000000,0.000000,0.000000
I5a1c,0.000000,0.000000,0.000000
I6,1.000000,0.000000,0.000000
J1b,0.000000,0.000000,0.000000
J1b1a1,0.000000,0.000000,0.000000
J1b1b1,0.000000,0.000000,0.000000
J1b2,0.000000,0.000000,0.000000
J1b6,0.000000,0.000000,0.000000
J1c10a,0.000000,0.000000,0.000000
J1c2,0.000000,0.000000,0.000000
J1c2o,0.000000,0.000000,0.000000
J1c3,0.000000,0.000000,0.000000
J1c3f,0.000000,0.000000,0.000000
J1d1a1,0.000000,0.000000,0.000000
J2a1a1,0.000000,0.000000,0.000000
J2a1a1e,0.000000,0.000000,0.000000
J2a2a1a1,0.000000,0.000000,0.000000
J2a2b1a,0.000000,0.000000,0.000000
J2a2d,0.000000,0.000000,0.000000
J2b1a2a,0.000000,0.000000,0.000000
K1a12a,0.000000,0.000000,0.000000
K1a1a,0.000000,0.000000,0.000000
K1a4,0.000000,0.000000,0.000000
K1a4b1,0.000000,0.000000,0.000000
K1a5a,0.000000,0.000000,0.000000
K1b1c,0.000000,0.000000,0.000000
L0a,1.000000,0.000000,0.000000
L0a1'4,1.000000,0.000000,0.000000
L0a1+16293,1.000000,0.000000,0.000000
L0a1a+200,0.000000,0.000000,0.000000
L0a1a1,0.000000,0.000000,0.000000
L0a1a2,0.000000,0.000000,0.000000
L0a1b,1.000000,0.000000,0.000000
L0a1b1a,0.000000,0.000000,0.000000
L0a1b1a1,0.000000,0.000000,0.000000
L0a1b1a1a,0.000000,0.000000,0.000000
L0a1e,0.000000,0.000000,0.000000
L0a2,1.000000,0.000000,0.000000
L0a2a1,0.000000,0.000000,0.000000
L0a2a1a,1.000000,0.000000,0.000000
L0a2a1a2,0.000000,0.000000,0.000000
L0a2a1b,0.000000,0.000000,0.000000
L0a2a2,0.000000,0.000000,0.000000
L0a2a2a,0.000000,0.000000,0.000000
L0a2b,0.000000,0.000000,0.000000
L0a2d,0.000000,0.000000,0.000000
L0d1a1a1,0.000000,0.000000,0.000000
L0d1b2b2c1,0.000000,0.000000,0.000000
L0d1c,0.000000,0.000000,0.000000
L0d2a'b'd,1.000000,0.000000,0.000000
L0f,0.000000,0.000000,0.000000
L0k1a1a,0.000000,0.000000,0.000000
L1b1a,0.000000,0.000000,0.000000
L1b1a+189,0.000000,0.000000,0.000000
L1b1a10,0.000000,0.000000,0.000000
L1b1a14,0.000000,0.000000,0.000000
L1b1a17,0.000000,0.000000,0.000000
L1b1a18,0.000000,0.000000,0.000000
L1b1a2,0.000000,0.000000,0.000000
L1b1a2a,0.000000,0.000000,0.000000
L1b1a3,0.000000,0.000000,0.000000
L1b1a3a,0.000000,0.000000,0.000000
L1b1a4,0.000000,0.000000,0.000000
L1b1a4a,0.000000,0.000000,0.000000
L1b1a5,0.000000,0.000000,0.000000
L1b1a6,0.000000,0.000000,0.000000
L1b1a7,0.000000,0.000000,0.000000
L1b1a9,0.000000,0.000000,0.000000
L1b2a,0.000000,0.000000,0.000000
L1c1,1.000000,0.000000,0.000000
L1c1a1a1a,0.000000,0.000000,0.000000
L1c1a1a1b,0.000000,0.000000,0.000000
L1c1a1a1b1,0.000000,0.000000,0.000000
L1c1a2a1,0.000000,0.000000,0.000000
L1c1a2a2,0.000000,0.000000,0.000000
L1c1a2b,0.000000,0.000000,0.000000
L1c1d,1.000000,0.000000,0.000000
L1c2a1a,0.000000,0.000000,0.000000
L1c2a2,0.000000,0.000000,0.000000
L1c2a3a,0.000000,0.000000,0.000000
L1c2b1a'b,0.000000,0.000000,0.000000
L1c2b1b,0.000000,0.000000,0.000000
L1c2b2,0.000000,0.000000,0.000000
L1c3,1.000000,0.000000,0.000000
L1c3a,0.000000,0.000000,0.000000
L1c3a1a,0.000000,0.000000,0.000000
L1c3a1b,0.000000,0.000000,0.000000
L1c3b1a,0.000000,0.000000,0.000000
L1c3c,0.000000,0.000000,0.000000
L1c4b,0.000000,0.000000,0.000000
L1c5,0.000000,0.000000,0.000000
L2a1+143,0.000000,0.000000,0.000000
L2a1+143+16189  (16192),0.000000,0.000000,0.000000
L2a1+143+@16309,1.000000,0.000000,0.000000
L2a1a,0.000000,0.000000,0.000000
L2a1a1,0.000000,0.000000,0.000000
L2a1a2,0.000000,0.000000,0.000000
L2a1a2a1a,0.000000,0.000000,0.000000
L2a1a2b,0.000000,0.000000,0.000000
L2a1a2c,0.000000,0.000000,0.000000
L2a1a3a,0.000000,0.000000,0.000000
L2a1a3c,0.000000,0.000000,0.000000
L2a1b1a,0.000000,0.000000,0.000000
L2a1c,0.000000,0.000000,0.000000
L2a1c1,0.000000,0.000000,0.000000
L2a1c2,0.000000,0.000000,0.000000
L2a1c3a,0.000000,0.000000,0.000000
L2a1c3b1,0.000000,0.000000,0.000000
L2a1c3b2,0.000000,0.000000,0.000000
L2a1c4a,0.000000,0.000000,0.000000
L2a1c5,0.000000,0.000000,0.000000
L2a1d1,0.000000,0.000000,0.000000
L2a1f,0.000000,0.000000,0.000000
L2a1f1,0.000000,0.000000,0.000000
L2a1f2,0.000000,0.000000,0.000000
L2a1f3,0.000000,0.000000,0.000000
L2a1g,0.000000,0.000000,0.000000
L2a1h,0.000000,0.000000,0.000000
L2a1i1,0.000000,0.000000,0.000000
L2a1l2,0.000000,0.000000,0.000000
L2a1m,0.000000,0.000000,0.000000
L2a2a1,0.000000,0.000000,0.000000
L2a2b1a,0.000000,0.000000,0.000000
L2a2b2,0.000000,0.000000,0.000000
L2a4a,0.000000,0.000000,0.000000
L2a5,0.000000,0.000000,0.000000
L2b1a,0.000000,0.000000,0.000000
L2b1a2,0.000000,0.000000,0.000000
L2b1a3,0.000000,0.000000,0.000000
L2b2,0.000000,0.000000,0.000000
L2b2a,0.000000,0.000000,0.000000
L2b3a,0.000000,0.000000,0.000000
L2c,0.000000,0.000000,0.000000
L2c1a,0.000000,0.000000,0.000000
L2c2a1,0.000000,0.000000,0.000000
L2c2b1b,0.000000,0.000000,0.000000
L2c3a,0.000000,0.000000,0.000000
L2c5,0.000000,0.000000,0.000000
L2d1a,0.000000,0.000000,0.000000
L2e1,0.000000,0.000000,0.000000
L3,1.000000,0.000000,0.000000
L3a+709,0.000000,0.000000,0.000000
L3a1,1.000000,0.000000,0.000000
L3a1b,0.000000,0.000000,0.000000
L3b1,1.000000,0.000000,0.000000
L3b1a,0.000000,0.000000,0.000000
L3b1a+@16124,0.000000,0.000000,0.000000
L3b1a10,0.000000,0.000000,0.000000
L3b1a11,0.000000,0.000000,0.000000
L3b1a1a,0.000000,0.000000,0.000000
L3b1a3,0.000000,0.000000,0.000000
L3b1a7,0.000000,0.000000,0.000000
L3b1a8,1.000000,0.000000,0.000000
L3b1b,0.000000,0.000000,0.000000
L3b2,0.000000,0.000000,0.000000
L3b2a,0.000000,0.000000,0.000000
L3b2b,0.000000,0.000000,0.000000
L3c,0.000000,0.000000,0.000000
